timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-11-18,339.72,342.46,335.3,338.69,338.69,17487235,0.0000,1.0
2021-11-17,344.24,347.3,340.1,340.77,340.77,13602812,0.0000,1.0
2021-11-16,343.83,346.65,340.87,342.96,342.96,18181106,0.0000,1.0
2021-11-15,344.34,353.65,343.2,347.56,347.56,25076603,0.0000,1.0
2021-11-12,330.18,341.86,329.78,340.89,340.89,25099642,0.0000,1.0
2021-11-11,329.82,332.459,327.0,327.74,327.74,12376563,0.0000,1.0
2021-11-10,332.49,333.19,325.51,327.64,327.64,21872605,0.0000,1.0
2021-11-09,340.0,341.3075,334.47,335.37,335.37,17469000,0.0000,1.0
2021-11-08,344.42,344.789,338.34,338.62,338.62,18342458,0.0000,1.0
2021-11-05,340.31,346.79,339.64,341.13,341.13,26872817,0.0000,1.0
2021-11-04,334.0065,337.273,332.65,335.85,335.85,22495281,0.0000,1.0
2021-11-03,327.49,332.15,323.2,331.62,331.62,20786502,0.0000,1.0
2021-11-02,331.38,334.7895,323.8,328.08,328.08,28259036,0.0000,1.0
2021-11-01,326.04,333.45,326.0,329.98,329.98,31164440,0.0000,1.0
2021-10-29,320.19,325.9999,319.6,323.57,323.57,37059384,0.0000,1.0
2021-10-28,312.99,325.52,308.11,316.92,316.92,50806840,0.0000,1.0
2021-10-27,314.19,319.25,312.06,312.22,312.22,29971761,0.0000,1.0
2021-10-26,328.26,330.2099,309.6,315.81,315.81,65654043,0.0000,1.0
2021-10-25,320.3,329.56,319.72,328.69,328.69,38408957,0.0000,1.0
2021-10-22,326.345,329.63,321.11,324.61,324.61,35224543,0.0000,1.0
2021-10-21,340.275,342.31,337.8,341.88,341.88,16354423,0.0000,1.0
2021-10-20,343.445,343.98,339.4531,340.78,340.78,13639465,0.0000,1.0
2021-10-19,339.645,342.46,337.28,339.99,339.99,18786316,0.0000,1.0
2021-10-18,328.95,335.89,327.5,335.34,335.34,21585018,0.0000,1.0
2021-10-15,328.68,329.07,322.51,324.76,324.76,21596370,0.0000,1.0
2021-10-14,328.355,330.52,327.1,328.53,328.53,14302154,0.0000,1.0
2021-10-13,326.97,327.0,322.66,324.54,324.54,14761470,0.0000,1.0
2021-10-12,323.03,324.38,317.37,323.77,323.77,31658684,0.0000,1.0
2021-10-11,327.625,330.46,325.31,325.45,325.45,14708224,0.0000,1.0
2021-10-08,331.51,333.4,328.71,330.05,330.05,15946110,0.0000,1.0
2021-10-07,337.0,338.84,328.98,329.22,329.22,28307456,0.0000,1.0
2021-10-06,329.74,334.38,325.8,333.64,333.64,26443010,0.0000,1.0
2021-10-05,328.58,335.18,326.1638,332.96,332.96,35377947,0.0000,1.0
2021-10-04,335.53,335.94,322.7,326.23,326.23,42884975,0.0000,1.0
2021-10-01,341.61,345.02,338.64,343.01,343.01,14905311,0.0000,1.0
